position_x_lambda,intensity_marked,intensity_erased
-161.12332,1.0,0.6190776231855081
-161.02563,1.0,0.6252267784818637
-160.92796,1.0,0.6304142201421141
-160.83028,1.0,0.6365255154685746
-160.7326,1.0,0.6426149083331123
-160.63492,1.0,0.6482156025159983
-160.53725,1.0,0.6537959978100667
-160.43956,1.0,0.6598176103772613
-160.34187,1.0,0.6648929583663141
-160.2442,1.0,0.6713249292022474
-160.14651,1.0,0.6768126692600746
-160.04884,1.0,0.6827304798023709
-159.95116,1.0,0.6881669055208361
-159.85349,1.0,0.693577517623464
-159.7558,1.0,0.6994092827796351
-159.65813,1.0,0.7052089764737052
-159.56044,1.0,0.7100906441208982
-159.46275,1.0,0.7158286980292712
-159.36508,1.0,0.7210946756601303
-159.2674,1.0,0.727199908698023
-159.16972,1.0,0.732399162043096
-159.07204,1.0,0.7379960232951456
-158.97437,1.0,0.7431283176851976
-158.87668,1.0,0.7482272890438957
-158.77899,1.0,0.7532921551404569
-158.68132,1.0,0.7583226030825682
-158.58363,1.0,0.7641464677078315
-158.48596,1.0,0.7690992401331951
-158.38828,1.0,0.7740150912656032
-158.2906,1.0,0.7792981997506092
-158.19292,1.0,0.784135123797017
-158.09525,1.0,0.7889330927504337
-157.99756,1.0,0.7940861944793124
-157.89987,1.0,0.7991921276919788
-157.8022,1.0,0.8038623583585388
-157.70451,1.0,0.8084912090166803
-157.60684,1.0,0.8134579051499805
-157.50916,1.0,0.8179977379450218
-157.41148,1.0,0.8228668898996875
